branch,branch_label,feature,kind,raw_roots,manifest_known
ridge_no_align,A. Ridge without alignment features,dmd,manifest,MD,True
ridge_no_align,A. Ridge without alignment features,log1p_dmd,manifest,MD,True
ridge_no_align,A. Ridge without alignment features,dx,manifest,X,True
ridge_no_align,A. Ridge without alignment features,dy,manifest,Y,True
ridge_no_align,A. Ridge without alignment features,dz,manifest,Z,True
ridge_no_align,A. Ridge without alignment features,lateral_disp,manifest,X|Y,True
ridge_no_align,A. Ridge without alignment features,dz_per_ft,manifest,MD|Z,True
ridge_no_align,A. Ridge without alignment features,local_dz_dmd,manifest,MD|Z,True
ridge_no_align,A. Ridge without alignment features,heading_sin,manifest,X|Y,True
ridge_no_align,A. Ridge without alignment features,heading_cos,manifest,X|Y,True
ridge_no_align,A. Ridge without alignment features,gr_filled,manifest,GR,True
ridge_no_align,A. Ridge without alignment features,gr_is_missing,manifest,GR,True
ridge_no_align,A. Ridge without alignment features,gr_roll_mean_51,manifest,GR,True
ridge_no_align,A. Ridge without alignment features,gr_roll_std_51,manifest,GR,True
ridge_no_align,A. Ridge without alignment features,gr_z,manifest,GR,True
ridge_no_align,A. Ridge without alignment features,tvt_last,manifest,TVT_input,True
ridge_no_align,A. Ridge without alignment features,tvt_slope_100,manifest,MD|TVT_input,True
ridge_no_align,A. Ridge without alignment features,tvt_slope_300,manifest,MD|TVT_input,True
ridge_no_align,A. Ridge without alignment features,tvt_slope_1000,manifest,MD|TVT_input,True
ridge_no_align,A. Ridge without alignment features,tvt_std_prefix,manifest,TVT_input,True
ridge_no_align,A. Ridge without alignment features,tvt_range_prefix,manifest,TVT_input,True
ridge_no_align,A. Ridge without alignment features,prefix_len,manifest,TVT_input,True
ridge_no_align,A. Ridge without alignment features,gr_missing_frac_well,manifest,GR,True
ridge_no_align,A. Ridge without alignment features,tw_gr_at_tvt_last,manifest,TVT_input|Typewell GR|Typewell TVT,True
ridge_no_align,A. Ridge without alignment features,tw_dgr_dtvt_at_tvt_last,manifest,TVT_input|Typewell GR|Typewell TVT,True
ridge_no_align,A. Ridge without alignment features,tw_tvt_min,manifest,Typewell TVT,True
ridge_no_align,A. Ridge without alignment features,tw_tvt_max,manifest,Typewell TVT,True
ridge_no_align,A. Ridge without alignment features,tw_gr_std,manifest,Typewell GR,True
ridge_baseline,B. Ridge with alignment features (current baseline),dmd,manifest,MD,True
ridge_baseline,B. Ridge with alignment features (current baseline),log1p_dmd,manifest,MD,True
ridge_baseline,B. Ridge with alignment features (current baseline),dx,manifest,X,True
ridge_baseline,B. Ridge with alignment features (current baseline),dy,manifest,Y,True
ridge_baseline,B. Ridge with alignment features (current baseline),dz,manifest,Z,True
ridge_baseline,B. Ridge with alignment features (current baseline),lateral_disp,manifest,X|Y,True
ridge_baseline,B. Ridge with alignment features (current baseline),dz_per_ft,manifest,MD|Z,True
ridge_baseline,B. Ridge with alignment features (current baseline),local_dz_dmd,manifest,MD|Z,True
ridge_baseline,B. Ridge with alignment features (current baseline),heading_sin,manifest,X|Y,True
ridge_baseline,B. Ridge with alignment features (current baseline),heading_cos,manifest,X|Y,True
ridge_baseline,B. Ridge with alignment features (current baseline),gr_filled,manifest,GR,True
ridge_baseline,B. Ridge with alignment features (current baseline),gr_is_missing,manifest,GR,True
ridge_baseline,B. Ridge with alignment features (current baseline),gr_roll_mean_51,manifest,GR,True
ridge_baseline,B. Ridge with alignment features (current baseline),gr_roll_std_51,manifest,GR,True
ridge_baseline,B. Ridge with alignment features (current baseline),gr_z,manifest,GR,True
