protocol,branch,stratify_by,stratum,n_wells,n_points,global_rmse,median_well_rmse,worst_well_rmse
same_well_masked,ridge_no_align,gr_missingness,50-80%,11,26979,2.901444110735775,1.5568475485265179,8.502273759416198
same_well_masked,ridge_baseline,gr_missingness,50-80%,11,26979,2.791312346142772,1.7326118747967845,8.070880057684583
same_well_masked,ridge_spatial_only,gr_missingness,50-80%,11,26979,2.423800126597018,1.396792218692493,6.592534924570641
same_well_masked,ridge_align_spatial,gr_missingness,50-80%,11,26979,2.3475055393124284,1.8090219373587746,6.223173912335215
same_well_masked,ridge_no_align,gr_missingness,5-20%,14,33409,1.645086327610604,1.195307084660562,3.6032792325143057
same_well_masked,ridge_baseline,gr_missingness,5-20%,14,33409,1.692578349070449,1.157155216555205,4.156318993800039
same_well_masked,ridge_spatial_only,gr_missingness,5-20%,14,33409,2.0716884224949266,1.252810885626352,5.499493804248996
same_well_masked,ridge_align_spatial,gr_missingness,5-20%,14,33409,2.1085731370759637,1.2261777347150902,5.821289017651433
same_well_masked,ridge_no_align,gr_missingness,<5%,13,31208,1.859068252124038,1.5966215004920026,3.337565345346452
same_well_masked,ridge_baseline,gr_missingness,<5%,13,31208,2.005951271009251,1.6580439190169873,3.4341284498066433
same_well_masked,ridge_spatial_only,gr_missingness,<5%,13,31208,1.9376177213343604,1.6133360547550748,3.3972363137656116
same_well_masked,ridge_align_spatial,gr_missingness,<5%,13,31208,2.0752800936974753,1.7626054715498396,3.7772495266031854
same_well_masked,ridge_no_align,gr_missingness,20-50%,1,1787,0.5306892244271164,0.5306892244271164,0.5306892244271164
same_well_masked,ridge_baseline,gr_missingness,20-50%,1,1787,0.7620852790648021,0.7620852790648021,0.7620852790648021
same_well_masked,ridge_spatial_only,gr_missingness,20-50%,1,1787,0.8611878221791156,0.8611878221791156,0.8611878221791156
same_well_masked,ridge_align_spatial,gr_missingness,20-50%,1,1787,0.6400588484362071,0.6400588484362071,0.6400588484362071
same_well_masked,ridge_no_align,gr_missingness,>80%,1,1291,0.41482676612383673,0.41482676612383673,0.41482676612383673
same_well_masked,ridge_baseline,gr_missingness,>80%,1,1291,0.46069678178799345,0.46069678178799345,0.46069678178799345
same_well_masked,ridge_spatial_only,gr_missingness,>80%,1,1291,0.5380669573166662,0.5380669573166662,0.5380669573166662
same_well_masked,ridge_align_spatial,gr_missingness,>80%,1,1291,0.5717757798327192,0.5717757798327192,0.5717757798327192
unseen_well,ridge_no_align,gr_missingness,50-80%,11,28770,2.124523763667494,2.0371061289049988,3.678264800641203
unseen_well,ridge_baseline,gr_missingness,50-80%,11,28770,1.8740547378352341,2.046684099703655,2.5430575613702193
unseen_well,ridge_spatial_only,gr_missingness,50-80%,11,28770,1.8300488103984338,1.5936742033927178,2.528146207536749
unseen_well,ridge_align_spatial,gr_missingness,50-80%,11,28770,1.9175003208379708,1.9606688522283486,2.6898967218738337
unseen_well,ridge_no_align,gr_missingness,5-20%,14,34419,1.5989842182026048,1.1501450402949203,3.3410188289957534
unseen_well,ridge_baseline,gr_missingness,5-20%,14,34419,1.5793960036940335,1.1890986694594794,3.3388114973514553
unseen_well,ridge_spatial_only,gr_missingness,5-20%,14,34419,1.5271567123372662,1.1363027806217163,2.984046781014347
unseen_well,ridge_align_spatial,gr_missingness,5-20%,14,34419,1.5141651588142375,1.0548991015842994,3.0322177442366782
unseen_well,ridge_no_align,gr_missingness,<5%,13,31261,1.5472755374068279,1.407236023709225,2.4937820724745894
unseen_well,ridge_baseline,gr_missingness,<5%,13,31261,1.5346080104255233,1.3123685553518776,2.2403409844220468
unseen_well,ridge_spatial_only,gr_missingness,<5%,13,31261,1.4881063021340337,1.4774399673141216,2.1885506794023217
unseen_well,ridge_align_spatial,gr_missingness,<5%,13,31261,1.4818964016627334,1.307336860890519,2.2098435444856084
unseen_well,ridge_no_align,gr_missingness,20-50%,1,1787,0.6802879382429129,0.6802879382429129,0.6802879382429129
unseen_well,ridge_baseline,gr_missingness,20-50%,1,1787,0.8569386271060848,0.8569386271060848,0.8569386271060848
unseen_well,ridge_spatial_only,gr_missingness,20-50%,1,1787,0.7221021054815476,0.7221021054815476,0.7221021054815476
unseen_well,ridge_align_spatial,gr_missingness,20-50%,1,1787,0.9410102085253814,0.9410102085253814,0.9410102085253814
unseen_well,ridge_no_align,gr_missingness,>80%,1,1291,3.8831219621359376,3.8831219621359376,3.8831219621359376
unseen_well,ridge_baseline,gr_missingness,>80%,1,1291,3.733638336011203,3.733638336011203,3.733638336011203
unseen_well,ridge_spatial_only,gr_missingness,>80%,1,1291,3.1958863283633265,3.1958863283633265,3.1958863283633265
unseen_well,ridge_align_spatial,gr_missingness,>80%,1,1291,3.0302209005392626,3.0302209005392626,3.0302209005392626
same_well_masked,ridge_no_align,hidden_suffix_length,2k-4k,25,69116,2.3874661656671647,1.4727466717753286,8.502273759416198
same_well_masked,ridge_baseline,hidden_suffix_length,2k-4k,25,69116,2.387807391373726,1.5749077711481791,8.070880057684583
same_well_masked,ridge_spatial_only,hidden_suffix_length,2k-4k,25,69116,2.3607585537382256,1.5454638172385518,6.592534924570641
same_well_masked,ridge_align_spatial,hidden_suffix_length,2k-4k,25,69116,2.37712868972335,1.4722146021997395,6.223173912335215
same_well_masked,ridge_no_align,hidden_suffix_length,1k-2k,15,25558,1.121713858793077,0.9281655212073437,1.7818925379593582
same_well_masked,ridge_baseline,hidden_suffix_length,1k-2k,15,25558,1.2310075640827978,1.0240609387880673,1.9696957424534265
same_well_masked,ridge_spatial_only,hidden_suffix_length,1k-2k,15,25558,1.1794455159435784,0.9845079222156808,1.6710386030618247
same_well_masked,ridge_align_spatial,hidden_suffix_length,1k-2k,15,25558,1.285247678756699,1.1593166714883758,1.9313347469671938
unseen_well,ridge_no_align,hidden_suffix_length,2k-4k,25,69361,1.688192813459321,1.416276705353443,2.7429040379184175
unseen_well,ridge_baseline,hidden_suffix_length,2k-4k,25,69361,1.6556144158367503,1.4159679493662132,2.5430575613702193
unseen_well,ridge_spatial_only,hidden_suffix_length,2k-4k,25,69361,1.6476772482815858,1.452338751590421,2.528146207536749
unseen_well,ridge_align_spatial,hidden_suffix_length,2k-4k,25,69361,1.6374708450028972,1.4879139324568518,2.5873902544266483
unseen_well,ridge_no_align,hidden_suffix_length,1k-2k,14,24129,2.021752864096382,1.2200701410415378,3.8831219621359376
unseen_well,ridge_baseline,hidden_suffix_length,1k-2k,14,24129,1.736892532492556,1.0153262895733595,3.733638336011203
unseen_well,ridge_spatial_only,hidden_suffix_length,1k-2k,14,24129,1.5953201258429983,1.2251095873967914,3.1958863283633265
unseen_well,ridge_align_spatial,hidden_suffix_length,1k-2k,14,24129,1.684811695833717,1.1886052604238522,3.0322177442366782
unseen_well,ridge_no_align,hidden_suffix_length,>4k,1,4038,2.0327904196220015,2.0327904196220015,2.0327904196220015
unseen_well,ridge_baseline,hidden_suffix_length,>4k,1,4038,2.046684099703655,2.046684099703655,2.046684099703655
unseen_well,ridge_spatial_only,hidden_suffix_length,>4k,1,4038,1.5936742033927178,1.5936742033927178,1.5936742033927178
unseen_well,ridge_align_spatial,hidden_suffix_length,>4k,1,4038,1.7459823582559701,1.7459823582559701,1.7459823582559701
same_well_masked,ridge_no_align,prefix_length,1k-2k,10,22978,1.3932716811221533,0.958167128605715,2.435445741734109
same_well_masked,ridge_baseline,prefix_length,1k-2k,10,22978,1.3792691787005578,0.98505540010283,2.218445160211262
same_well_masked,ridge_spatial_only,prefix_length,1k-2k,10,22978,1.4953745004062182,1.121374124999694,2.204199409122591
same_well_masked,ridge_align_spatial,prefix_length,1k-2k,10,22978,1.4835458033370788,1.2521016024133416,2.2597815877589293
same_well_masked,ridge_no_align,prefix_length,2k-4k,16,37407,2.874005009547215,1.775397407510432,8.502273759416198
same_well_masked,ridge_baseline,prefix_length,2k-4k,16,37407,2.9104312981571425,1.738287369060671,8.070880057684583
