model,protocol,n_wells,n_points,global_rmse,mean_well_rmse,median_well_rmse,p90_well_rmse,worst10_well_rmse,worst_well_rmse,worst_well_id,max_abs_error,mean_bias,predict_seconds,arm_label
ridge_default,same_well_masked,240,581811,2.243294256849687,1.7271547232444797,1.3277322625085244,3.619344870571425,5.571694565909976,8.253251411777718,tr00083,10.87541298218639,0.008563813024709106,3.7556410569995933,A. Ridge Default (stable anchor)
ridge_affine_cal,same_well_masked,240,581811,2.2596005917354445,1.7505809578860536,1.4073889901952588,3.5775078633083695,5.524065489442251,8.19242898080064,tr00083,12.013448511377511,0.017263113699677153,5.662698899997849,B. Ridge + affine GR calibration features
ridge_multibranch,same_well_masked,240,581811,2.2359227691334307,1.7410776008304212,1.4366807109670074,3.6211976985492162,5.093744672138568,6.601424928690656,tr000af,11.277207817663609,-0.003257250176559623,5.812247485998341,C. Ridge + bimodal branch features
ridge_affine_multibranch,same_well_masked,240,581811,2.246961899447938,1.7565569196564133,1.4218212402282795,3.653945824478726,5.105709905961077,6.910359698146505,tr000af,12.889462477971819,0.009271529341403998,7.470640060993901,D. Ridge + affine calibration + branch uncertainty
ridge_gated_gbdt,same_well_masked,240,581811,2.9044648562426585,1.7473179642991674,0.9490454462121979,4.001517423809049,10.492000813079034,19.70242615795922,tr000d6,21.6463780718371,-0.17813193137921413,17.748487192996436,E. Ridge anchor + well-level GBDT gate for candidate corrections
ridge_default,unseen_well,240,603192,2.241976988319964,1.7158131011103994,1.349378711426883,3.48613253152934,6.093873172951861,9.932341530860068,tr000e6,44.369370961470295,0.046453816495231615,3.6844927889969767,A. Ridge Default (stable anchor)
ridge_affine_cal,unseen_well,240,603192,2.2627785690859064,1.7329139678234828,1.358241273204197,3.4240335837592903,5.957209964505852,9.681274984122508,tr000e6,41.615691323027406,0.053891965152125625,5.605155707002268,B. Ridge + affine GR calibration features
ridge_multibranch,unseen_well,240,603192,2.281007940009762,1.7716173045523524,1.356758744957237,3.4914960806789264,6.1737101370148295,9.448318960339893,tr000e6,44.21638256399196,0.0251923094848161,5.839898432996961,C. Ridge + bimodal branch features
ridge_affine_multibranch,unseen_well,240,603192,2.2932886093602307,1.7844508649725055,1.32543571889285,3.3927269077776763,6.044037984625464,8.899058036073482,tr000e6,43.728165601191535,0.03843807816178453,7.593456809997406,D. Ridge + affine calibration + branch uncertainty
ridge_gated_gbdt,unseen_well,240,603192,2.7956316327381168,1.8208971527204052,1.1804451317743943,3.9747848879434042,8.947527479092889,13.762948821740531,tr00025,44.369370961470295,0.014234947535408724,17.535832594999192,E. Ridge anchor + well-level GBDT gate for candidate corrections
