protocol,candidate_arm,metric,resampling_unit,n_wells,n_bootstrap,observed_delta,bootstrap_mean,ci_low_2.5,ci_high_97.5,frac_bootstrap_negative,frac_bootstrap_positive,ci_excludes_zero,strongly_negative_ci,note
same_well_masked,ridge_affine_cal,global_point_rmse_delta,well,240,2000,0.0163063348857575,0.016764928593281922,-0.03550490331944043,0.07083954382393792,0.275,0.725,False,False,delta = ridge_particle_beam − ridge_default; negative favours the candidate
unseen_well,ridge_affine_cal,global_point_rmse_delta,well,240,2000,0.020801580765942962,0.021627282161194358,-0.01691617570254954,0.06189215454810482,0.143,0.857,False,False,delta = ridge_particle_beam − ridge_default; negative favours the candidate
same_well_masked,ridge_affine_cal,mean_well_rmse_delta,well,240,2000,0.023426234641574013,0.023753983205950555,-0.022050653425508836,0.06683906557340963,0.145,0.855,False,False,"delta = ridge_particle_beam − ridge_default per well, then mean; negative favours the candidate"
unseen_well,ridge_affine_cal,mean_well_rmse_delta,well,240,2000,0.017100866713083463,0.017866954516935315,-0.015649694511039158,0.054747044576625915,0.1525,0.8475,False,False,"delta = ridge_particle_beam − ridge_default per well, then mean; negative favours the candidate"
same_well_masked,ridge_multibranch,global_point_rmse_delta,well,240,2000,-0.007371487716256286,-0.007672290788157362,-0.07678582259551762,0.05680974651033157,0.577,0.423,False,False,delta = ridge_particle_beam − ridge_default; negative favours the candidate
unseen_well,ridge_multibranch,global_point_rmse_delta,well,240,2000,0.03903095168979798,0.03965543149304696,0.00030919870082538644,0.08302928401043182,0.0235,0.9765,True,False,delta = ridge_particle_beam − ridge_default; negative favours the candidate
same_well_masked,ridge_multibranch,mean_well_rmse_delta,well,240,2000,0.013922877585941299,0.013942121303453306,-0.03936122823508776,0.06450663509462223,0.2905,0.7095,False,False,"delta = ridge_particle_beam − ridge_default per well, then mean; negative favours the candidate"
unseen_well,ridge_multibranch,mean_well_rmse_delta,well,240,2000,0.05580420344195282,0.05662686710128673,0.01972447679969332,0.09677010407518984,0.001,0.999,True,False,"delta = ridge_particle_beam − ridge_default per well, then mean; negative favours the candidate"
same_well_masked,ridge_affine_multibranch,global_point_rmse_delta,well,240,2000,0.003667642598251142,0.004165827296833619,-0.08406038631042627,0.09373676158563345,0.4565,0.5435,False,False,delta = ridge_particle_beam − ridge_default; negative favours the candidate
unseen_well,ridge_affine_multibranch,global_point_rmse_delta,well,240,2000,0.051311621040266875,0.052826738296386226,-0.010136700820892264,0.11411051451313249,0.045,0.955,False,False,delta = ridge_particle_beam − ridge_default; negative favours the candidate
same_well_masked,ridge_affine_multibranch,mean_well_rmse_delta,well,240,2000,0.02940219641193318,0.029638892382200303,-0.038179833583425485,0.09374357620641154,0.185,0.815,False,False,"delta = ridge_particle_beam − ridge_default per well, then mean; negative favours the candidate"
unseen_well,ridge_affine_multibranch,mean_well_rmse_delta,well,240,2000,0.06863776386210602,0.06947738133380668,0.01992742086399068,0.12235643978776926,0.003,0.997,True,False,"delta = ridge_particle_beam − ridge_default per well, then mean; negative favours the candidate"
same_well_masked,ridge_gated_gbdt,global_point_rmse_delta,well,240,2000,0.6611705993929715,0.6472197944465793,0.061527862616750306,1.2640440942122113,0.0125,0.9875,True,False,delta = ridge_particle_beam − ridge_default; negative favours the candidate
unseen_well,ridge_gated_gbdt,global_point_rmse_delta,well,240,2000,0.5536546444181529,0.5553273554190573,0.08982824894721932,1.0967251127382103,0.005,0.995,True,False,delta = ridge_particle_beam − ridge_default; negative favours the candidate
same_well_masked,ridge_gated_gbdt,mean_well_rmse_delta,well,240,2000,0.020163241054687652,0.020666149644205253,-0.22836931832891433,0.2757711763025611,0.4375,0.5625,False,False,"delta = ridge_particle_beam − ridge_default per well, then mean; negative favours the candidate"
unseen_well,ridge_gated_gbdt,mean_well_rmse_delta,well,240,2000,0.1050840516100056,0.11007213650785144,-0.08602759453849523,0.33875495607863915,0.158,0.842,False,False,"delta = ridge_particle_beam − ridge_default per well, then mean; negative favours the candidate"
