model,protocol,stratify_by,stratum,n_wells,n_points,global_rmse,median_well_rmse,worst_well_rmse
ridge_default,same_well_masked,hidden_suffix_length,2k-4k,151,421853,2.384454103604815,1.5544879118928614,6.371336790902614
ridge_affine_cal,same_well_masked,hidden_suffix_length,2k-4k,151,421853,2.395336137290401,1.4951966384720121,6.827622831254261
ridge_multibranch,same_well_masked,hidden_suffix_length,2k-4k,151,421853,2.3628082921884457,1.6052109337353264,6.601424928690656
ridge_affine_multibranch,same_well_masked,hidden_suffix_length,2k-4k,151,421853,2.365704041486624,1.5708357523002552,6.910359698146505
ridge_gated_gbdt,same_well_masked,hidden_suffix_length,2k-4k,151,421853,3.041489843984715,1.1950016149032237,19.70242615795922
ridge_default,same_well_masked,hidden_suffix_length,1k-2k,81,133270,1.7314604140884549,1.026267268648519,8.253251411777718
ridge_affine_cal,same_well_masked,hidden_suffix_length,1k-2k,81,133270,1.7778244791762814,1.1308808366788647,8.19242898080064
ridge_multibranch,same_well_masked,hidden_suffix_length,1k-2k,81,133270,1.7050045477520657,1.0776898257852547,5.453561215578245
ridge_affine_multibranch,same_well_masked,hidden_suffix_length,1k-2k,81,133270,1.7487364541433703,1.1965647701228797,5.506860622248176
ridge_gated_gbdt,same_well_masked,hidden_suffix_length,1k-2k,81,133270,2.6267207756044604,0.6320439672598411,12.110387259806618
ridge_default,same_well_masked,hidden_suffix_length,>4k,6,24732,2.271908728108543,2.40912327809599,3.4523882522727156
ridge_affine_cal,same_well_masked,hidden_suffix_length,>4k,6,24732,2.2566271618135176,2.2422548477148876,3.5759807289785823
ridge_multibranch,same_well_masked,hidden_suffix_length,>4k,6,24732,2.5799710528530397,2.559099609523015,3.6283229292818633
ridge_affine_multibranch,same_well_masked,hidden_suffix_length,>4k,6,24732,2.598982287593098,2.3702054035826703,3.676334834471654
ridge_gated_gbdt,same_well_masked,hidden_suffix_length,>4k,6,24732,1.842650763924493,1.7811062685691572,2.5984068538744696
ridge_default,same_well_masked,hidden_suffix_length,500-1k,2,1956,1.060024432840131,0.922662192244651,1.4530900810017244
ridge_affine_cal,same_well_masked,hidden_suffix_length,500-1k,2,1956,1.2391513196550783,1.0531503977171672,1.7158841997140621
ridge_multibranch,same_well_masked,hidden_suffix_length,500-1k,2,1956,0.8716138139160998,0.7592429627120068,1.1943765427024478
ridge_affine_multibranch,same_well_masked,hidden_suffix_length,500-1k,2,1956,0.9953643178182214,0.8813840980374382,1.3520725379351815
ridge_gated_gbdt,same_well_masked,hidden_suffix_length,500-1k,2,1956,1.060024432840131,0.922662192244651,1.4530900810017244
